lineNumber,pageHint,codeCandidate,ocrLiteral,reviewStatus
1175,,997,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 997,REVISAR_COLUNAS
1196,,123,123 Prestações suplementares ro,REVISAR_OCR
1219,,191,A reserva legal foy constrtuída ao abrigo do arhgo 191 * do Código alterados,REVISAR_OCR
1238,,998,998 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1249,,153,153 Condições de financiamento Provisões,REVISAR_OCR
1295,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 999,REVISAR_COLUNAS
1295,,999,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 999,REVISAR_COLUNAS
1313,,221,221 Composição das vendas por mercados,REVISAR_OCR
1314,,202,202 Condições de financiamento,REVISAR_OCR
1339,,1000,1000 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1397,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1001,REVISAR_COLUNAS
1397,,1001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1001,REVISAR_COLUNAS
1464,,1002,1002 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1514,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1003,REVISAR_COLUNAS
1514,,1003,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1003,REVISAR_COLUNAS
1567,,1004,1004 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1625,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1005,REVISAR_COLUNAS
1625,,1005,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1005,REVISAR_COLUNAS
1679,,1006,1006 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1734,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1007,REVISAR_COLUNAS
1734,,1007,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1007,REVISAR_COLUNAS
1786,,1008,1008 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1849,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1009,REVISAR_COLUNAS
1849,,1009,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1009,REVISAR_COLUNAS
1905,,1010,1010 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1955,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1011,REVISAR_COLUNAS
1955,,1011,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1011,REVISAR_COLUNAS
2008,,1012,1012 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2062,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1013,REVISAR_COLUNAS
2062,,1013,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1013,REVISAR_COLUNAS
2114,,1014,1014 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2165,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1015,REVISAR_COLUNAS
2165,,1015,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1015,REVISAR_COLUNAS
2218,,1016,1016 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2268,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1017,REVISAR_COLUNAS
2268,,1017,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1017,REVISAR_COLUNAS
2275,,151,12 Imobihzações incorpóreas 151 - .,REVISAR_OCR
2280,,1161,17 - . 1161 . .. «,REVISAR_OCR
2289,,114,114] Relativos a edifícios industrias 21 P,REVISAR_OCR
2290,,142,1t 142 Relativos a edifícios admunistrativos e im ve,REVISAR_OCR
2292,,11143,11143 Relativos a outros edifícios,REVISAR_OCR
2294,,1221,1221 .. -,REVISAR_OCR
2297,,11214,11214 Integrados em conjuntos industrias 123 Propriedade industrial e outros direitos,REVISAR_COLUNAS
2297,,123,11214 Integrados em conjuntos industrias 123 Propriedade industrial e outros direitos,REVISAR_COLUNAS
2298,,11212,11212 Integrados em conguntos admimstra- e contratos .,REVISAR_OCR
2299,,1231,tivos é comerciais 1231,REVISAR_OCR
2300,,11213,11213 Outros conjuntos industrias o,REVISAR_OCR
2301,,11214,11214 Implantados em propriedade alhesa . to,REVISAR_OCR
2302,,122,122 Outras construções 124 Despesas de canstituição,REVISAR_COLUNAS
2302,,124,122 Outras construções 124 Despesas de canstituição,REVISAR_COLUNAS
2303,,1123,1123 Instalações,REVISAR_OCR
2304,,1241,.. 1241 a,REVISAR_OCR
2306,,1131,1131 Matenal ndustmal 12.9 Outras imobilizações incorpóreas,REVISAR_OCR
2307,,1132,1132 Ferramentas industnas,REVISAR_OCR
2308,,1291,11 3.3 Melhoramentos em equipamentos básicos 1291 -,REVISAR_OCR
2309,,1018,1018 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2313,,1481,1481 e re,REVISAR_OCR
2314,,1311,1311 Partes de capital o . e,REVISAR_OCR
2315,,1312,1312 Otmgações e títulos de participação,REVISAR_OCR
2316,,1313,1313 Empréstimos 149 Adiantamentos por conta de investimentos,REVISAR_COLUNAS
2316,,149,1313 Empréstimos 149 Adiantamentos por conta de investimentos,REVISAR_COLUNAS
2317,,132,132 Empresas associadas 1491...,REVISAR_COLUNAS
2317,,1491,132 Empresas associadas 1491...,REVISAR_COLUNAS
2318,,1321,1321 Partes de capital Morro,REVISAR_OCR
2319,,1322,"1322 Obmgações e títulos de participação , ore",REVISAR_OCR
2320,,1323,1323 Empréstimos,REVISAR_OCR
2322,,133,133 Outras empresas 18.1 mobilizações corpóreas,REVISAR_OCR
2323,,133,133.1 Partes de capital .,REVISAR_OCR
2324,,1332,1332 Obrigações e títulos de participação o E o a o nn,REVISAR_OCR
2325,,1333,1333 Empréstimos 18.3 Equipamento básico,REVISAR_OCR
2327,,135,135 Equipamento adminsstratiwvo,REVISAR_OCR
2328,,134,134 Investimentos em imóveis 18 6 Taras e vasilhame,REVISAR_OCR
2331,,135,135 Fundos 18 2 Imobilizações incorpóreas,REVISAR_OCR
2332,,1351,1351 . . ... 182 1 Trespasses,REVISAR_COLUNAS
2332,,182,1351 . . ... 182 1 Trespasses,REVISAR_COLUNAS
2333,,1822,. .. - 1822 Despesas de investigação e desen-,REVISAR_OCR
2335,,1823,1823 Propriedade industrial e outros direi-,REVISAR_OCR
2339,,1829,13.92 Ouro 1829 Outras mobilizações ncorpóreas,REVISAR_OCR
2341,,183,º o 183 Investimentos financeiros em Imóveis,REVISAR_OCR
2342,,183,14 IMOBILIZAÇÕES EM CURSO 183 1 Terrenos é recursos naturais,REVISAR_OCR
2344,,141,141 Obra em curso,REVISAR_OCR
2348,,147,147 Adiantamentos par conta de imobilizado,REVISAR_OCR
2349,,1911,corpóreo 1911 Partes de capital,REVISAR_OCR
2350,,1912,1912 Obngações e títulos de parmeipação,REVISAR_OCR
2351,,1913,71 . 1913 Empréstumos,REVISAR_OCR
2352,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1019,REVISAR_COLUNAS
2352,,1019,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1019,REVISAR_COLUNAS
2353,,217,19 2 Empresas associadas 217 Devoluções de compras,REVISAR_OCR
2354,,1921,1921 Partes de capital 217 =. ua . «,REVISAR_COLUNAS
2354,,217,1921 Partes de capital 217 =. ua . «,REVISAR_COLUNAS
2355,,1922,1922 Obngações e títulos de participação . ea .,REVISAR_OCR
2356,,1923,1923 Empréstimos,REVISAR_OCR
2359,,218,218t .. . .,REVISAR_OCR
2360,,931,[931 Partes de capita!,REVISAR_OCR
2361,,1932,1932 Obngações é títulos de participação o,REVISAR_OCR
2362,,1933,1933 Empréstimos 219,REVISAR_COLUNAS
2362,,219,1933 Empréstimos 219,REVISAR_COLUNAS
2363,,219,219.1 . ..,REVISAR_OCR
2365,,1941,1941 Partes de capital,REVISAR_OCR
2368,,199,199 Qutros investimentos financeiros 22.1 Matérias-primas,REVISAR_OCR
2369,,1991,1991 Diamantes,REVISAR_OCR
2370,,1992,1992 Ouro 221.1 . Cam a,REVISAR_COLUNAS
2370,,221,1992 Ouro 221.1 . Cam a,REVISAR_COLUNAS
2371,,199,199.3 Depósitos bancários ro “ol ” -,REVISAR_OCR
2372,,222,We ua 222 Matérias subsédiá,REVISAR_OCR
2373,,221,2 EXISTÊNCIAS 221 cum,REVISAR_OCR
2375,,223,"22 Matérias-primas, subsidiárias e de 223 Materiais diversos",REVISAR_OCR
2377,,231,23 Produtos e trabalhos em curso 231 den .,REVISAR_OCR
2382,,241,"27 Maténias-primas, mercadonas e outros 241 e",REVISAR_OCR
2385,,225,29 Provisão para depreciação de exis- 225 Outros materiais,REVISAR_OCR
2392,,2121,2121 232... cs .,REVISAR_COLUNAS
2392,,232,2121 232... cs .,REVISAR_COLUNAS
2393,,1020,1020 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2394,,272,24 PRODUTOS ACABADOS E INTERMÉDIOS 272 Ontros materiais,REVISAR_OCR
2398,,2731,2731 .,REVISAR_OCR
2400,,2421,2421 . . o,REVISAR_OCR
2404,,2491,2491 2811,REVISAR_COLUNAS
2404,,2811,2491 2811,REVISAR_COLUNAS
2406,,2821,E REFUGOS 2821,REVISAR_OCR
2408,,2811,2811 29 PROVISÃO PARA DEPRECIAÇÃO DE,REVISAR_OCR
2410,,291,"25 2 Desperdícios, resíduos e refugos 291",REVISAR_OCR
2411,,2521,2521 . 29 2 Matérias-primas subsidiárias e de consumo,REVISAR_OCR
2412,,2921,2921 . .,REVISAR_OCR
2414,,261,261... . 2931 .,REVISAR_COLUNAS
2414,,2931,261... . 2931 .,REVISAR_COLUNAS
2415,,262,262 .,REVISAR_OCR
2417,,2941,2941 .,REVISAR_OCR
2419,,2691,"2691 . 29 5 Sub-produtos, desperdícios, resíduos e",REVISAR_OCR
2421,,2951,2951,REVISAR_OCR
2426,,2961,2961,REVISAR_OCR
2428,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1021,REVISAR_COLUNAS
2428,,1021,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1021,REVISAR_COLUNAS
2429,,319,3-TERCEIROS 319 Clientes — saldos credores,REVISAR_OCR
2430,,3191,3 Clientes 3191 Adiantamentos,REVISAR_OCR
2431,,3192,32 Fomecelores 3192 Embalagens a devolver,REVISAR_OCR
2432,,3193,33 Empréstimos 3193 Material à consignação,REVISAR_OCR
2439,,3211,3211 Grupo,REVISAR_OCR
2441,,32111,32111 Subsidiárias,REVISAR_OCR
2442,,32112,32 à Chentes - correntes 32112 Associadas,REVISAR_OCR
2443,,3111,3111 Grupo 3212 Não grupo,REVISAR_COLUNAS
2443,,3212,3111 Grupo 3212 Não grupo,REVISAR_COLUNAS
2444,,32121,31 11 Subsidárias 32121 Nacionais,REVISAR_OCR
2445,,32122,21 1 12 Associadas 32122 Estrangeiros,REVISAR_OCR
2446,,322,34 1 2 Não grupo 322 Fornecedores — títulos a pagar,REVISAR_OCR
2447,,31121,31121 Nacionais 3221 Grupo,REVISAR_COLUNAS
2447,,3221,31121 Nacionais 3221 Grupo,REVISAR_COLUNAS
2449,,32211,32211 Subsidiárias,REVISAR_OCR
2450,,32212,3 2 Clientes — títulos a receber 32212 Associadas,REVISAR_OCR
2451,,222,222 Não grupo,REVISAR_OCR
2452,,3121,3121 Grupo,REVISAR_OCR
2453,,32221,32221 Nacionais,REVISAR_OCR
2454,,31211,31211 Subsidsárias 32222 Estrangeiros,REVISAR_COLUNAS
2454,,32222,31211 Subsidsárias 32222 Estrangeiros,REVISAR_COLUNAS
2455,,31212,31212 Associadas,REVISAR_OCR
2456,,3122,3122 Não grupo,REVISAR_OCR
2457,,328,328 Fornecedores — facturas em recepção e confe-,REVISAR_OCR
2458,,31221,31221 Nacionais rência,REVISAR_OCR
2459,,31222,31222 Estrangeiros,REVISAR_OCR
2460,,318,318!,REVISAR_OCR
2462,,3131,3131 Grupo 329 Fornecedores - saldos devedores,REVISAR_COLUNAS
2462,,329,3131 Grupo 329 Fornecedores - saldos devedores,REVISAR_COLUNAS
2463,,31311,31311 Subsidiánas,REVISAR_OCR
2464,,291,291 Adiantamentos,REVISAR_OCR
2465,,31312,31312 Associadas 3292 Embalagens a devolver,REVISAR_COLUNAS
2465,,3292,31312 Associadas 3292 Embalagens a devolver,REVISAR_COLUNAS
2466,,3132,3132 Não grupo 3293 Material à consignação,REVISAR_COLUNAS
2466,,3293,3132 Não grupo 3293 Material à consignação,REVISAR_COLUNAS
2467,,3132,3132 | Nacionais,REVISAR_OCR
2468,,31322,31322 Estrangeiros 33 EMPRÉSTIMOS,REVISAR_OCR
2470,,3311,31 8 Chentes de cobrança duvidosa 3311 Moeda nacional,REVISAR_OCR
2471,,3181,3181 Chentes — correntes 33114 Banco,REVISAR_COLUNAS
2471,,33114,3181 Chentes — correntes 33114 Banco,REVISAR_COLUNAS
2473,,1022,1022 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2474,,312,312 Moeda estrangeira 349 Gutros impostos.,REVISAR_COLUNAS
2474,,349,312 Moeda estrangeira 349 Gutros impostos.,REVISAR_COLUNAS
2475,,33121,33121 Banco,REVISAR_OCR
2476,,3491,. 3491 - .,REVISAR_OCR
2477,,332,332 Empréstimos por obrigações,REVISAR_OCR
2479,,3321,3321 Convertíveis PADAS,REVISAR_OCR
2480,,33211,33211 Enndade 35 1 Entidades participantes,REVISAR_OCR
2481,,3322,3322 Não convertíveis 3541 Estado,REVISAR_COLUNAS
2481,,3541,3322 Não convertíveis 3541 Estado,REVISAR_COLUNAS
2482,,33221,33221 Entidade. astti clsubsenção,REVISAR_OCR
2483,,35112,35112 cfadiantamentos sobre lucros,REVISAR_OCR
2484,,35113,35113 eflucros,REVISAR_OCR
2485,,333,333 Empréstimos par títulos de participação 35114 Emprésumos,REVISAR_COLUNAS
2485,,35114,333 Empréstimos par títulos de participação 35114 Emprésumos,REVISAR_COLUNAS
2486,,3331,3331 Entidade,REVISAR_OCR
2487,,3512,. 3512 Empresas do grupo — subsidiárias,REVISAR_OCR
2488,,35121,35121 c/subserição,REVISAR_OCR
2489,,339,339 Outros empréstimos obtidos 35122 c/adrantamentos sobre lucros,REVISAR_COLUNAS
2489,,35122,339 Outros empréstimos obtidos 35122 c/adrantamentos sobre lucros,REVISAR_COLUNAS
2490,,35123,35123 cflucros,REVISAR_OCR
2491,,3391,3391 Entidade 35124 Emprésumos,REVISAR_COLUNAS
2491,,35124,3391 Entidade 35124 Emprésumos,REVISAR_COLUNAS
2492,,3513,34 ESTADO 3513 Empresas do grupo — associadas,REVISAR_OCR
2493,,35131,35131 clsubsenção,REVISAR_OCR
2494,,35132,34 1 Imposto sobre os lneros 35132 cfadiantamentos sobre lucros,REVISAR_OCR
2495,,3411,3411 35133 cflucros,REVISAR_COLUNAS
2495,,35133,3411 35133 cflucros,REVISAR_COLUNAS
2496,,35134,: 35134 Empréstimos,REVISAR_OCR
2497,,342,342 Imposto de produção e consumo,REVISAR_OCR
2498,,3514,3514 Outros,REVISAR_OCR
2499,,3421,3421,REVISAR_OCR
2500,,35141,- 35141 cisubscrição,REVISAR_OCR
2501,,35142,35142 ciadiantamentos sobre lucros,REVISAR_OCR
2502,,343,343 Impasto de rendimento de trabalho 35143 cilucros,REVISAR_COLUNAS
2502,,35143,343 Impasto de rendimento de trabalho 35143 cilucros,REVISAR_COLUNAS
2503,,35144,35144 Empréstimos,REVISAR_OCR
2504,,331,331,REVISAR_OCR
2505,,344,344 1 to de circulação,REVISAR_OCR
2506,,352,mos asa 352 Entidades participadas,REVISAR_OCR
2507,,3441,3441 -,REVISAR_OCR
2508,,3521,- 3521 Estado,REVISAR_OCR
2509,,35211,. . 35211 cisubsenção,REVISAR_OCR
2510,,35212,34 8 Subsídios a preços 35212 cfadiantamentos sobre jucros,REVISAR_OCR
2511,,35213,35213 cAlucros,REVISAR_OCR
2512,,381,381 .. 35214 Empréstimos,REVISAR_COLUNAS
2512,,35214,381 .. 35214 Empréstimos,REVISAR_COLUNAS
2513,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1023,REVISAR_COLUNAS
2513,,1023,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 1023,REVISAR_COLUNAS
2514,,3522,3522 Empresas do grupo — subsidiárias 363 Pessoal — adiantamentos,REVISAR_COLUNAS
2514,,363,3522 Empresas do grupo — subsidiárias 363 Pessoal — adiantamentos,REVISAR_COLUNAS
2515,,35221,35221 cisubscrição 3631,REVISAR_COLUNAS
2515,,3631,35221 cisubscrição 3631,REVISAR_COLUNAS
2516,,35222,35222 cfadiantamentos sobre lucros ” -,REVISAR_OCR
2517,,35223,35223 eflucros -,REVISAR_OCR
2518,,35224,35224 Empréstimos,REVISAR_OCR
2519,,369,369 Pessoal — outros,REVISAR_OCR
2520,,3523,3523 Empresas do grupo — associadas 3691,REVISAR_COLUNAS
2520,,3691,3523 Empresas do grupo — associadas 3691,REVISAR_COLUNAS
2521,,35231,35231 c/subserição,REVISAR_OCR
2522,,35232,35232 cfsdiantementos sobre jucros 37 OUTROS VALORES A RECEBER E A PAGAR,REVISAR_OCR
2523,,35233,35233 eflucros,REVISAR_OCR
2524,,35234,35234 Empréstimos 37 1 Compras de imobilizado,REVISAR_OCR
2525,,3711,3711 Corpóreo,REVISAR_OCR
2526,,3524,3524 Outros 3712 Incorpéreo,REVISAR_COLUNAS
2526,,3712,3524 Outros 3712 Incorpéreo,REVISAR_COLUNAS
2527,,3713,3713 Financeiro,REVISAR_OCR
2528,,35241,35241 eisubscrição,REVISAR_OCR
2529,,35242,35242 cfadiantamentos sobre lucros ',REVISAR_OCR
2530,,35243,35243 cilucros 372 Vendas de imobilizado,REVISAR_COLUNAS
2530,,372,35243 cilucros 372 Vendas de imobilizado,REVISAR_COLUNAS
2531,,35244,35244 Empréstimos,REVISAR_OCR
2532,,3721,. 3721 Corpóreo,REVISAR_OCR
2533,,322,322 Incorpáreo,REVISAR_OCR
2534,,323,323 Financeiro,REVISAR_OCR
2536,,373,373 Proveitos a facturar,REVISAR_OCR
2537,,361,361 Pessoal — remunerações 2731 Vendas,REVISAR_COLUNAS
2537,,2731,361 Pessoal — remunerações 2731 Vendas,REVISAR_COLUNAS
2538,,332,» 332 Prestações de serviço,REVISAR_OCR
2539,,3611,3611 Órgãos sociais 333 Juros,REVISAR_COLUNAS
2539,,333,3611 Órgãos sociais 333 Juros,REVISAR_COLUNAS
2540,,36111,36111,REVISAR_OCR
2541,,374,É 374 Encargos a repartir por períodos futuros,REVISAR_OCR
2542,,3612,3612 Empregados,REVISAR_OCR
2543,,3741,3741 Descontos de enussão de obrigações,REVISAR_OCR
2544,,36121,36121 3742 Descantos de emissão de títulos de part,REVISAR_COLUNAS
2544,,3742,36121 3742 Descantos de emissão de títulos de part,REVISAR_COLUNAS
2546,,362,362 Pessoal — participação nos resultados 375 Encargos a pagar,REVISAR_COLUNAS
2546,,375,362 Pessoal — participação nos resultados 375 Encargos a pagar,REVISAR_COLUNAS
2547,,3621,3621 Órgãos sociais 37514 Remunerações,REVISAR_COLUNAS
2547,,37514,3621 Órgãos sociais 37514 Remunerações,REVISAR_COLUNAS
2548,,352,352 Juros,REVISAR_OCR
2549,,36211,36211,REVISAR_OCR
2551,,3622,3622 — Empeegados pos po,REVISAR_OCR
2552,,3761,3761 Prémios de emissão de obngações,REVISAR_OCR
2553,,36221,36221 3162 Prémios de erussão de títulos de partica-,REVISAR_COLUNAS
2553,,3162,36221 3162 Prémios de erussão de títulos de partica-,REVISAR_COLUNAS
2554,,3763,. 3763 Subsídios para investimento,REVISAR_OCR
2555,,1024,1024 DIÁRIO DA REPÚBLICA,REVISAR_OCR
2556,,3764,3764 Diferenças de câmbio favoráveis rever- 384 Provisões p/dívidas do pessoal,REVISAR_COLUNAS
2556,,384,3764 Diferenças de câmbio favoráveis rever- 384 Provisões p/dívidas do pessoal,REVISAR_COLUNAS
2558,,3841,E - 3841,REVISAR_OCR
2559,,377,377 Contas transitórias,REVISAR_OCR
2560,,389,389 Provisões para ontros saldos a receber,REVISAR_OCR
2561,,3771,3771 Transacções entre a sede c as dependên-,REVISAR_OCR
2562,,3891,eras da empresa 3891 Vendas imobilizado,REVISAR_OCR
2564,,379,379 Outros valores a receber c a pagar - ENCARGOS,REVISAR_OCR
2565,,3291,3291 no . 391 Provisões para pensões,REVISAR_COLUNAS
2565,,391,3291 no . 391 Provisões para pensões,REVISAR_COLUNAS
2566,,3911,. . 3911 . .,REVISAR_OCR
2568,,392,DOSAS 392 Provisões para processos judiciais em curso,REVISAR_OCR
2569,,3921,38 1 Provisões para clientes 3921 .,REVISAR_OCR
2570,,3811,3811 Chentes — correntes,REVISAR_OCR
2571,,393,393 Provisões para acidentes de trabalho,REVISAR_OCR
2572,,3811,3811t Grupo,REVISAR_OCR
2573,,38112,38112 Não grupo 3931 .,REVISAR_COLUNAS
2573,,3931,38112 Não grupo 3931 .,REVISAR_COLUNAS
2574,,3812,3812 Cliente — títulos a receber 394 Provisões para garanti a clientes,REVISAR_COLUNAS
2574,,394,3812 Cliente — títulos a receber 394 Provisões para garanti a clientes,REVISAR_COLUNAS
2575,,38121,38121 Grupo Pr .,REVISAR_OCR
2576,,38122,38122 — Nãogrpo,REVISAR_OCR
2577,,3813,3813 Clientes — cobrança duvidosa,REVISAR_OCR
2578,,38121,38121 Grupo 399 Provisões para outros riscos e encargos,REVISAR_COLUNAS
2578,,399,38121 Grupo 399 Provisões para outros riscos e encargos,REVISAR_COLUNAS
2579,,38122,38122 — Nãogrupo -,REVISAR_OCR
2580,,3991,3991,REVISAR_OCR
2581,,382,382 Provisões para saldos devedores de fornece 7 MEIOS MONETÁRIOS,REVISAR_OCR
