codigo;designacao;pai;nivel;paginas_ocr_candidatas;evidencia_pendente
"18.1.3";"Equipamento básico";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1.4";"Equipamento de carga e transporte";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1.5";"Equipamento administrativo";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1.6";"Taras e vasilhame";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1.9";"Outras imobilizações corpóreas";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.2";"Imobilizações incorpóreas";"18";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.2.1";"Trespasses";"18.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.2.2";"Despesas de investigação e desenvolvimento";"18.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.2.3";"Propriedade industrial e outros direitos e contratos";"18.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.2.4";"Despesas de constituição";"18.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.2.9";"Outras imobilizações incorpóreas";"18.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.3";"Investimentos financeiros em imóveis";"18";"3";"42";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.3.1";"Terrenos e recursos naturais";"18.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.3.2";"Edifícios e outras construções";"18.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.1";"Empresas subsidiárias";"19";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.1.1";"Partes de capital";"19.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.1.2";"Obrigações e títulos de participação";"19.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.1.3";"Empréstimos";"19.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.2";"Empresas associadas";"19";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.2.1";"Partes de capital";"19.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.2.2";"Obrigações e títulos de participação";"19.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.2.3";"Empréstimos";"19.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.3";"Outras empresas";"19";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.3.1";"Partes de capital";"19.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.3.2";"Obrigações e títulos de participação";"19.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.3.3";"Empréstimos";"19.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.4";"Fundos";"19";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.4.1";"Partes de capital";"19.4";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.9";"Outros investimentos financeiros";"19";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.9.1";"Diamantes";"19.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.9.2";"Ouro";"19.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"19.9.3";"Depósitos bancários";"19.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"2";"Existências";"";"1";"1,2,3,4,6,8,9,10";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"21";"Compras";"2";"2";"6,8,12,13,23,40,41,43";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"21.1";"Matérias-primas, subsidiárias e de consumo";"21";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"21.2";"Mercadorias";"21";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"21.7";"Devoluções de compras";"21";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"21.8";"Descontos e abatimentos em compras";"21";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"22";"Matérias-primas, subsidiárias e de consumo";"2";"2";"1,3,7,8,12,13,20,23";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"22.1";"Matérias-primas";"22";"3";"43";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"22.2";"Matérias subsidiárias";"22";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"22.3";"Materiais diversos";"22";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"22.4";"Embalagens de consumo";"22";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"22.5";"Outros materiais";"22";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"23";"Produtos e trabalhos em curso";"2";"2";"1,2,3,9,12,23,24,31";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"24";"Produtos acabados e intermédios";"2";"2";"1,3,12,24,31,43,44,53";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"24.1";"Produtos acabados";"24";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"24.2";"Produtos intermédios";"24";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"24.9";"Em poder de terceiros";"24";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"25";"Sub-produtos, desperdícios, resíduos e refugos";"2";"2";"12,37,43,44,65";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"25.1";"Sub-produtos";"25";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"25.2";"Desperdícios, resíduos e refugos";"25";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"26";"Mercadorias";"2";"2";"12,39,43,44,53,65,86";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"26.9";"Em poder de terceiros";"26";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"27";"Matérias-primas, mercadorias e outros materiais em trânsito";"2";"2";"1,4,12,43,44,65,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"27.1";"Matérias-primas";"27";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"27.2";"Outros materiais";"27";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"27.3";"Mercadorias";"27";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"28";"Adiantamentos por conta de compras";"2";"2";"9,12,24,40,43,44,65,94";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"28.1";"Matérias-primas e outros materiais";"28";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"28.2";"Mercadorias";"28";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"29";"Provisão para depreciação de existências";"2";"2";"12,43,44,65,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"29.2";"Matérias-primas subsidiárias e de consumo";"29";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"29.3";"Produtos e trabalhos em curso";"29";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"29.4";"Produtos acabados e intermédios";"29";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"29.5";"Sub-produtos, desperdícios, resíduos e refugos";"29";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"29.6";"Mercadorias";"29";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"3";"Terceiros";"";"1";"1,5,7,9,10,12,15,16";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31";"Clientes";"3";"2";"7,12,45,69,86,97";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1";"Clientes – correntes";"31";"3";"45";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1.1";"Grupo";"31.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1.1.1";"Subsidiárias";"31.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1.1.2";"Associadas";"31.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1.2";"Não grupo";"31.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1.2.1";"Nacionais";"31.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.1.2.2";"Estrangeiros";"31.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2";"Clientes – títulos a receber";"31";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2.1";"Grupo";"31.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2.1.1";"Subsidiárias";"31.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2.1.2";"Associadas";"31.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2.2";"Não grupo";"31.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2.2.1";"Nacionais";"31.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.2.2.2";"Estrangeiros";"31.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3";"Clientes – títulos descontados";"31";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3.1";"Grupo";"31.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3.1.1";"Subsidiárias";"31.3.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3.1.2";"Associadas";"31.3.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3.2";"Não grupo";"31.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3.2.1";"Nacionais";"31.3.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.3.2.2";"Estrangeiros";"31.3.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.8";"Clientes de cobrança duvidosa";"31";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.8.1";"Clientes – correntes";"31.8";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.8.2";"Clientes – títulos";"31.8";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.9";"Clientes - saldos credores";"31";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.9.1";"Adiantamentos";"31.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.9.2";"Embalagens a devolver";"31.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"31.9.3";"Material à consignação";"31.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32";"Fornecedores";"3";"2";"1,12,42,45,59,70";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1";"Fornecedores – correntes";"32";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1.1";"Grupo";"32.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1.1.1";"Subsidiárias";"32.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1.1.2";"Associadas";"32.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1.2";"Não grupo";"32.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1.2.1";"Nacionais";"32.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.1.2.2";"Estrangeiros";"32.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2";"Fornecedores – títulos a pagar";"32";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2.1";"Grupo";"32.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2.1.1";"Subsidiárias";"32.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2.1.2";"Associadas";"32.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2.2";"Não grupo";"32.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2.2.1";"Nacionais";"32.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.2.2.2";"Estrangeiros";"32.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.8";"Fornecedores – facturas em recepção e conferência";"32";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.9";"Fornecedores – saldos devedores";"32";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.9.1";"Adiantamentos";"32.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.9.2";"Embalagens a devolver";"32.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"32.9.3";"Material à consignação";"32.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33";"Empréstimos";"3";"2";"12,25,45,70,86";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.1";"Empréstimos bancários";"33";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.1.1";"Moeda nacional";"33.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.1.1.1";"Banco ___";"33.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.1.2";"Moeda estrangeira";"33.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.1.2.1";"Banco ___";"33.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.2";"Empréstimos por obrigações";"33";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.2.1";"Convertíveis";"33.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.2.1.1";"Entidade ___";"33.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.2.2";"Não convertíveis";"33.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.2.2.1";"Entidade ___";"33.2.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.3";"Empréstimos por títulos de participação";"33";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.3.1";"Entidade ___";"33.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.9";"Outros empréstimos obtidos";"33";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"33.9.1";"Entidade ___";"33.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34";"Estado";"3";"2";"12,45,46,57,70,71,86,88";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.1";"Imposto sobre os lucros";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.2";"Imposto de produção e consumo";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.3";"Imposto de rendimento de trabalho";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.4";"Imposto de circulação";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5";"IVA";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.1";"IVA suportado";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.1.1";"Existências";"34.5.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.1.2";"Meios fixos e investimentos";"34.5.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.1.3";"Outros bens e serviços";"34.5.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.2";"IVA dedutível";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.2.1";"Existências";"34.5.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.2.2";"Meios fixos e investimentos";"34.5.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.2.3";"Outros bens e serviços";"34.5.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.3";"IVA liquidado";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.3.1";"Operações gerais";"34.5.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.3.2";"Operações abrangidas pelo regime de IVA de caixa";"34.5.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.3.3";"Autoconsumo e operações gratuitas";"34.5.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.3.4";"Operações especiais";"34.5.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.4";"IVA regularizações";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.4.1";"Mensais a favor do sujeito passivo";"34.5.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.4.2";"Mensais a favor do Estado";"34.5.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.4.3";"Anual por cálculo do pró rata definitivo";"34.5.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.4.4";"Outras regularizações anuais";"34.5.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.5";"IVA apuramento";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.5.1";"Apuramento do regime de IVA normal";"34.5.5";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.5.2";"Apuramento do regime de IVA de caixa";"34.5.5";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.6";"IVA a pagar";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.6.1";"IVA a pagar de apuramento";"34.5.6";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.6.2";"IVA a pagar de cativo";"34.5.6";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.6.3";"IVA a pagar de liquidações oficiosas";"34.5.6";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.7";"IVA a recuperar";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.7.1";"IVA a recuperar de apuramentos";"34.5.7";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.7.2";"IVA a recuperar de cativo";"34.5.7";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.8";"IVA reembolsos pedidos";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.8.1";"Reembolsos pedidos";"34.5.8";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.8.2";"Reembolsos deferidos";"34.5.8";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.8.3";"Reembolsos indeferidos";"34.5.8";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.8.4";"Reembolsos reclamados, recorridos ou impugnados";"34.5.8";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.5.9";"IVA Liquidações oficiosas";"34.5";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.6";"Certificado de crédito fiscal a compensar";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.8";"Subsídios a preços";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"34.9";"Outros impostos";"34";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35";"Entidades participantes e participadas";"3";"2";"9,10,12,15,21,45,46,71";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1";"Entidades participantes";"35";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.1";"Estado";"35.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.1.1";"c/subscrição";"35.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.1.2";"c/adiantamentos sobre lucros";"35.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.1.3";"c/lucros";"35.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.1.4";"Empréstimos";"35.1.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.2";"Empresas do grupo – subsidiárias";"35.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.2.1";"c/subscrição";"35.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.2.2";"c/adiantamentos sobre lucros";"35.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.2.3";"c/lucros";"35.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.2.4";"Empréstimos";"35.1.2";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.3";"Empresas do grupo – associadas";"35.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.3.1";"c/subscrição";"35.1.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.3.2";"c/adiantamentos sobre lucros";"35.1.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.3.3";"c/lucros";"35.1.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.3.4";"Empréstimos";"35.1.3";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.4";"Outros";"35.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.4.1";"c/subscrição";"35.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"35.1.4.2";"c/adiantamentos sobre lucros";"35.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
