"Account Number","Account Name","Type","Detail Type"
"34583","3458 IVA reembolsos pedidos: Reembolsos indeferidos","Ativos circulantes","Outros ativos circulantes"
"34584","3458 IVA reembolsos pedidos: Reembolsos reclamados, recorridos ou impugnados","Ativos circulantes","Outros ativos circulantes"
"35111","3511 Estado: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35112","3511 Estado: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35113","3511 Estado: c/lucros","Ativos circulantes","Investimentos - Outros"
"35114","3511 Estado: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35121","3512 Empresas do grupo – subsidiárias: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35122","3512 Empresas do grupo – subsidiárias: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35123","3512 Empresas do grupo – subsidiárias: c/lucros","Ativos circulantes","Investimentos - Outros"
"35124","3512 Empresas do grupo – subsidiárias: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35131","3513 Empresas do grupo – associadas: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35132","3513 Empresas do grupo – associadas: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35133","3513 Empresas do grupo – associadas: c/lucros","Ativos circulantes","Investimentos - Outros"
"35134","3513 Empresas do grupo – associadas: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35141","3514 Outros: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35142","3514 Outros: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35143","3514 Outros: c/lucros","Ativos circulantes","Investimentos - Outros"
"35144","3514 Outros: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35211","3521 Estado: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35212","3521 Estado: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35213","3521 Estado: c/lucros","Ativos circulantes","Investimentos - Outros"
"35214","3521 Estado: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35221","3522 Empresas do grupo – subsidiárias: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35222","3522 Empresas do grupo – subsidiárias: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35223","3522 Empresas do grupo – subsidiárias: c/lucros","Ativos circulantes","Investimentos - Outros"
"35224","3522 Empresas do grupo – subsidiárias: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35231","3523 Empresas do grupo – associadas: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35232","3523 Empresas do grupo – associadas: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35233","3523 Empresas do grupo – associadas: c/lucros","Ativos circulantes","Investimentos - Outros"
"35234","3523 Empresas do grupo – associadas: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"35241","3524 Outros: c/subscrição","Ativos circulantes","Investimentos - Outros"
"35242","3524 Outros: c/adiantamentos sobre lucros","Ativos circulantes","Investimentos - Outros"
"35243","3524 Outros: c/lucros","Ativos circulantes","Investimentos - Outros"
"35244","3524 Outros: Empréstimos","Ativos circulantes","Empréstimos para terceiros"
"38111","3811 Clientes – correntes: Grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38112","3811 Clientes – correntes: Não grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38121","3812 Cliente – títulos a receber: Grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38122","3812 Cliente – títulos a receber: Não grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38131","3813 Clientes – cobrança duvidosa: Grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"38132","3813 Clientes – cobrança duvidosa: Não grupo","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"66111","6611 De investimentos financeiros: Obrigações","Outros lucros","Receita de juros"
"66113","6611 De investimentos financeiros: Títulos de participação","Outros lucros","Receita de juros"
"66114","6611 De investimentos financeiros: Empréstimos","Outros lucros","Receita de juros"
"66119","6611 De investimentos financeiros: Outros","Outros lucros","Receita de juros"
"66121","6612 De mora relativos a dívidas de terceiros: Dívidas recebidas a prestações","Outros lucros","Receita de juros"
"66122","6612 De mora relativos a dívidas de terceiros: De empréstimos a terceiros","Outros lucros","Receita de juros"
"66611","6661 Investimentos financeiros: Subsidiárias","Outros lucros","Outra receita de investimento"
"66612","6661 Investimentos financeiros: Associadas","Outros lucros","Outra receita de investimento"
"66613","6661 Investimentos financeiros: Outras empresas","Outros lucros","Outra receita de investimento"
"66614","6661 Investimentos financeiros: Imóveis","Outros lucros","Outra receita de investimento"
"66615","6661 Investimentos financeiros: Fundos","Outros lucros","Outra receita de investimento"
"66619","6661 Investimentos financeiros: Outros investimentos","Outros lucros","Outra receita de investimento"
"66711","6671 Investimentos financeiros: Subsidiárias","Outros lucros","Outros lucros operacionais"
"66712","6671 Investimentos financeiros: Associadas","Outros lucros","Outros lucros operacionais"
"66713","6671 Investimentos financeiros: Outras empresas","Outros lucros","Outros lucros operacionais"
"66714","6671 Investimentos financeiros: Fundos","Outros lucros","Outros lucros operacionais"
"66719","6671 Investimentos financeiros: Outros investimentos","Outros lucros","Outros lucros operacionais"
"66721","6672 Aplicações de tesouraria: Títulos negociáveis","Outros lucros","Outros lucros operacionais"
"66722","6672 Aplicações de tesouraria: Depósitos a prazo","Outros lucros","Outros lucros operacionais"
"66723","6672 Aplicações de tesouraria: Outros depósitos","Outros lucros","Outros lucros operacionais"
"66729","6672 Aplicações de tesouraria: Outros investimentos","Outros lucros","Outros lucros operacionais"
"68111","6811 Existências: Matérias-primas subsidiárias e de consumo","Outros lucros","Outras receitas diversas"
"68112","6811 Existências: Produtos e trabalhos em curso","Outros lucros","Outras receitas diversas"
"68113","6811 Existências: Produtos acabados e intermédios","Outros lucros","Outras receitas diversas"
"68114","6811 Existências: Sub-produtos, desperdícios, resíduos e refugos","Outros lucros","Outras receitas diversas"
"68115","6811 Existências: Mercadorias","Outros lucros","Outras receitas diversas"
"68121","6812 Cobranças duvidosas: Clientes","Outros lucros","Outras receitas diversas"
"68122","6812 Cobranças duvidosas: Clientes – títulos a receber","Outros lucros","Outras receitas diversas"
"68123","6812 Cobranças duvidosas: Clientes – cobrança duvidosa","Outros lucros","Outras receitas diversas"
"68124","6812 Cobranças duvidosas: Saldos devedores de fornecedores","Outros lucros","Outras receitas diversas"
"68125","6812 Cobranças duvidosas: Participantes e participadas","Outros lucros","Outras receitas diversas"
"68126","6812 Cobranças duvidosas: Dívidas do Pessoal","Outros lucros","Outras receitas diversas"
"68129","6812 Cobranças duvidosas: Outros saldos a receber","Outros lucros","Outras receitas diversas"
"68131","6813 Riscos e encargos: Pensões","Outros lucros","Outras receitas diversas"
"68132","6813 Riscos e encargos: Processos judiciais em curso","Outros lucros","Outras receitas diversas"
"68133","6813 Riscos e encargos: Acidentes de trabalho","Outros lucros","Outras receitas diversas"
"68134","6813 Riscos e encargos: Garantias dadas a clientes","Outros lucros","Outras receitas diversas"
"68139","6813 Riscos e encargos: Outros riscos e encargos","Outros lucros","Outras receitas diversas"
"68101","6810 Correcções relativas a exercícios anteriores: Estimativa impostos","Outros lucros","Outras receitas diversas"
"68102","6810 Correcções relativas a exercícios anteriores: Restituição de impostos","Outros lucros","Outras receitas diversas"
"68111","6811 Outros ganhos e perdas não operacionais: Donativos","Outros lucros","Outras receitas diversas"
"75211","752 Fornecimentos e serviços de terceiros: Água","Despesas","Serviços públicos"
"75212","752 Fornecimentos e serviços de terceiros: Electricidade","Despesas","Serviços públicos"
"75213","752 Fornecimentos e serviços de terceiros: Combustíveis e outros fluídos","Despesas","Automóvel"
"75214","752 Fornecimentos e serviços de terceiros: Conservação e reparação","Despesas","Reparo e manutenção"
"75215","752 Fornecimentos e serviços de terceiros: Material de protecção segurança e conforto","Despesas","Suprimentos e materiais"
"75216","752 Fornecimentos e serviços de terceiros: Ferramentas e utensílios de desgaste rápido","Despesas","Suprimentos e materiais"
"75217","752 Fornecimentos e serviços de terceiros: Material de escritório","Despesas","Despesas gerais de administração/de escritório"
"75218","752 Fornecimentos e serviços de terceiros: Livros e documentação técnica","Despesas","Mensalidades e assinaturas"
"75219","752 Fornecimentos e serviços de terceiros: Outros fornecimentos","Despesas","Suprimentos e materiais"
"75220","752 Fornecimentos e serviços de terceiros: Comunicação","Despesas","Serviços públicos"
"75221","752 Fornecimentos e serviços de terceiros: Rendas e alugueres","Despesas","Aluguel ou arrendamento de prédios"
"75222","752 Fornecimentos e serviços de terceiros: Seguros","Despesas","Seguro"
"75223","752 Fornecimentos e serviços de terceiros: Deslocações e estadas","Despesas","Despesas de viagens - despesas gerais e administrativas"
"75224","752 Fornecimentos e serviços de terceiros: Despesas de representação","Despesas","Refeições e entretenimento"
"75226","752 Fornecimentos e serviços de terceiros: Conservação e reparação","Despesas","Reparo e manutenção"
"75227","752 Fornecimentos e serviços de terceiros: Vigilância e segurança","Despesas","Custo de outros serviços diversos"
"75228","752 Fornecimentos e serviços de terceiros: Limpeza, higiene e conforto","Despesas","Custo de outros serviços diversos"
"75229","752 Fornecimentos e serviços de terceiros: Publicidade e propaganda","Despesas","Publicidade/promoção"
"75230","752 Fornecimentos e serviços de terceiros: Contencioso e notariado","Despesas","Honorários advocatícios e profissionais"
"75231","752 Fornecimentos e serviços de terceiros: Comissões a intermediários","Despesas","Custo de outros serviços diversos"
"75232","752 Fornecimentos e serviços de terceiros: Assistência técnica","Despesas","Reparo e manutenção"
"75233","752 Fornecimentos e serviços de terceiros: Trabalhos executados no exterior","Despesas","Custo de outros serviços diversos"
"75234","752 Fornecimentos e serviços de terceiros: Honorários e avenças","Despesas","Honorários advocatícios e profissionais"
"75235","752 Fornecimentos e serviços de terceiros: Royalties","Despesas","Despesas gerais de administração/de escritório"
"75239","752 Fornecimentos e serviços de terceiros: Outros serviços","Despesas","Custo de outros serviços diversos"
"75311","7531 Indirectos: Imposto de selo","Despesas","Impostos pagos"
"75312","7531 Indirectos: IVA","Despesas","Impostos pagos"
"75319","7531 Indirectos: Outros impostos","Despesas","Impostos pagos"
"75321","7532 Directos: Imposto de capitais","Despesas","Impostos pagos"
"75322","7532 Directos: Contribuição predial","Despesas","Impostos pagos"
"75329","7532 Directos: Outros impostos","Despesas","Impostos pagos"
"76111","7611 De empréstimos: Bancários","Despesas","Juros pagos"
"76112","7611 De empréstimos: Obrigações","Despesas","Juros pagos"
"76113","7611 De empréstimos: Títulos de participação","Despesas","Juros pagos"
"76511","7651 Investimentos financeiros: Subsidiárias","Outras despesas","Outras despesas"
"76512","7651 Investimentos financeiros: Associadas","Outras despesas","Outras despesas"
"76513","7651 Investimentos financeiros: Outras empresas","Outras despesas","Outras despesas"
"76514","7651 Investimentos financeiros: Fundos","Outras despesas","Outras despesas"
"76519","7651 Investimentos financeiros: Outros investimentos","Outras despesas","Outras despesas"
"76521","7652 Aplicações de tesouraria: Títulos negociáveis","Outras despesas","Outras despesas"
"76522","7652 Aplicações de tesouraria: Depósitos a prazo","Outras despesas","Outras despesas"
"76523","7652 Aplicações de tesouraria: Outros depósitos","Outras despesas","Outras despesas"
"76529","7652 Aplicações de tesouraria: Outros","Outras despesas","Outras despesas"
"76611","7661 Investimentos financeiros: Subsidiárias","Outros lucros","Perdas na alienação de ativos"
"76612","7661 Investimentos financeiros: Associadas","Outros lucros","Perdas na alienação de ativos"
"76613","7661 Investimentos financeiros: Outras empresas","Outros lucros","Perdas na alienação de ativos"
"76614","7661 Investimentos financeiros: Fundos","Outros lucros","Perdas na alienação de ativos"
"76619","7661 Investimentos financeiros: Outros investimentos","Outros lucros","Perdas na alienação de ativos"
"78111","7811 Existências: Matérias-primas subsidiárias e de consumo","Outras despesas","Outras despesas"
"78112","7811 Existências: Produtos e trabalhos em curso","Outras despesas","Outras despesas"
"78113","7811 Existências: Produtos acabados e intermédios","Outras despesas","Outras despesas"
"78114","7811 Existências: Sub-produtos, desperdícios, resíduos e refugos","Outras despesas","Outras despesas"
"78115","7811 Existências: Mercadorias","Outras despesas","Outras despesas"
"78121","7812 Cobranças Duvidosas: Clientes","Despesas","Créditos de liquidação duvidosa"
"78122","7812 Cobranças Duvidosas: Clientes – títulos a receber","Despesas","Créditos de liquidação duvidosa"
"78123","7812 Cobranças Duvidosas: Clientes – cobrança duvidosa","Despesas","Créditos de liquidação duvidosa"
"78124","7812 Cobranças Duvidosas: Saldos devedores de fornecedores","Despesas","Créditos de liquidação duvidosa"
"78125","7812 Cobranças Duvidosas: Participantes e participadas","Despesas","Créditos de liquidação duvidosa"
"78126","7812 Cobranças Duvidosas: Dívidas do pessoal","Despesas","Créditos de liquidação duvidosa"
"78129","7812 Cobranças Duvidosas: Outros saldos a receber","Despesas","Créditos de liquidação duvidosa"
"78131","7813 Riscos e encargos: Pensões","Outras despesas","Outras despesas"
"78132","7813 Riscos e encargos: Processos judiciais em curso","Outras despesas","Multas e conciliações"
"78133","7813 Riscos e encargos: Acidentes de trabalho","Outras despesas","Outras despesas"
"78134","7813 Riscos e encargos: Garantias dadas a clientes","Outras despesas","Outras despesas"
"78139","7813 Riscos e encargos: Outros riscos e encargos","Outras despesas","Outras despesas"
"78101","7810 Correcções relativas a exercícios anteriores: Estimativa impostos","Outras despesas","Outras despesas"
"78111","Donativos","Despesas","Contribuições de caridade"
"78112","7811 Outros custos e perdas não operacionais: Reembolso de subsídios à exploração","Outras despesas","Outras despesas"
"78113","7811 Outros custos e perdas não operacionais: Reembolso de subsídios a investimentos","Outras despesas","Outras despesas"
